Mercredi 6 août 2025 13:00 locale (+11h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15297 m	125 hPa	-62.2°C	-62.3°C	-79.3°C	8 %	280 ° / 26.1 kt
14173 m	150 hPa	-62.1°C	-61.9°C	-72.9°C	22 %	260 ° / 19.4 kt
13215 m	175 hPa	-59.3°C	-59°C	-65°C	48 %	255 ° / 22.7 kt
12372 m	200 hPa	-55.5°C	-56°C	-60°C	57 %	249 ° / 30 kt
11614 m	225 hPa	-51.1°C	-51.5°C	-55.5°C	59 %	245 ° / 33.2 kt
10922 m	250 hPa	-46.7°C	-46.8°C	-47.8°C	88 %	255 ° / 24.4 kt
10283 m	275 hPa	-41.4°C	-41.5°C	-41.5°C	99 %	263 ° / 21.9 kt
9686 m	300 hPa	-36.7°C	-37.1°C	-38.3°C	85 %	266 ° / 22.5 kt
9143 m	325 hPa	-32.2°C	-33.1°C	-37.4°C	60 %	273 ° / 20.7 kt
8600 m	350 hPa	-27.7°C	-29.4°C	-38.5°C	35 %	282 ° / 19.4 kt
8112 m	375 hPa	-23.8°C	-25.9°C	-37.1°C	28 %	279 ° / 17.3 kt
7624 m	400 hPa	-19.8°C	-22.8°C	-36.5°C	21 %	277 ° / 15.2 kt
7182 m	425 hPa	-16.6°C	-20.1°C	-34.4°C	20 %	271 ° / 14.4 kt
6740 m	450 hPa	-13.3°C	-17.3°C	-32.3°C	19 %	265 ° / 13.7 kt
6334 m	475 hPa	-10.1°C	-14.8°C	-29.5°C	19 %	264 ° / 14.3 kt
5928 m	500 hPa	-7°C	-12.3°C	-26.7°C	19 %	263 ° / 14.9 kt
5553 m	525 hPa	-4.4°C	-10.3°C	-25.1°C	18 %	270 ° / 15.5 kt
5178 m	550 hPa	-1.9°C	-8.5°C	-23.7°C	17 %	276 ° / 16.3 kt
4830 m	575 hPa	-0°C	-6.4°C	-18.5°C	24 %	283 ° / 19.4 kt
4482 m	600 hPa	1.9°C	-4.3°C	-14°C	30 %	287 ° / 22.7 kt
4157 m	625 hPa	3.8°C	-1.5°C	-8.1°C	42 %	292 ° / 25 kt
3831 m	650 hPa	5.8°C	1.4°C	-3°C	53 %	296 ° / 27.3 kt
3525 m	675 hPa	8°C	3.5°C	-0.6°C	54 %	291 ° / 25.7 kt
3219 m	700 hPa	10.3°C	5.6°C	1.8°C	56 %	286 ° / 24.2 kt
3154 m	706 hPa	10.7°C	6.1°C	2.3°C	56 %	283 ° / 24 kt
2904 m	728 hPa	12°C	7.2°C	3.5°C	56 %	278 ° / 23.8 kt
2654 m	750 hPa	13.4°C	8.2°C	4.1°C	53 %	272 ° / 24.3 kt
2404 m	772 hPa	14.9°C	8.7°C	3.8°C	47 %	264 ° / 25.5 kt
2154 m	795 hPa	16.3°C	9.3°C	3.7°C	43 %	258 ° / 25.5 kt
1904 m	819 hPa	17.1°C	10.2°C	4.9°C	45 %	257 ° / 22.1 kt
1654 m	843 hPa	16.4°C	11.9°C	8.8°C	61 %	259 ° / 16.7 kt
1529 m	856 hPa	16.4°C	13.1°C	11.1°C	71 %	256 ° / 14.3 kt
1404 m	868 hPa	16.9°C	14.3°C	12.9°C	77 %	248 ° / 12.1 kt
1279 m	881 hPa	17.5°C	15.4°C	14.3°C	81 %	234 ° / 10.6 kt
1154 m	894 hPa	18.2°C	16.4°C	15.4°C	84 %	217 ° / 9.9 kt
1029 m	907 hPa	19.1°C	17.1°C	16.1°C	83 %	204 ° / 10 kt
904 m	920 hPa	20.1°C	17.8°C	16.6°C	80 %	195 ° / 10.6 kt
779 m	934 hPa	21.2°C	18.4°C	17°C	77 %	188 ° / 11.4 kt
654 m	947 hPa	22.2°C	19°C	17.4°C	74 %	182 ° / 12.1 kt
529 m	961 hPa	23.3°C	19.6°C	17.9°C	72 %	178 ° / 12.6 kt
404 m	975 hPa	24.5°C	20.2°C	18.2°C	68 %	175 ° / 13 kt
354 m	980 hPa	24.9°C	20.5°C	18.4°C	67 %	174 ° / 13 kt
304 m	986 hPa	25.4°C	20.7°C	18.5°C	66 %	172 ° / 13 kt
254 m	992 hPa	26°C	21°C	18.7°C	64 %	171 ° / 12.7 kt
229 m	994 hPa	26.3°C	21.1°C	18.7°C	63 %	171 ° / 12.3 kt
204 m	997 hPa	26.6°C	21.3°C	18.8°C	62 %	170 ° / 11.7 kt
189 m	999 hPa	26.9°C	21.4°C	18.8°C	61 %	170 ° / 11.2 kt
174 m	1001 hPa	27.2°C	21.5°C	18.9°C	60 %	170 ° / 10.2 kt
156 m (Sol)	1003 hPa	29.2°C	22.4°C	19.3°C	55 %	169 ° / 8.7 kt
  Iso 0°C : 4823 m  	  Iso -10°C : 6317 m  	  Iso -20°C : 7644 m  
