Samedi 9 août 2025 19:00 
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15369 m	125 hPa	-58.3°C	-58°C	-80°C	5 %	193 ° / 12.8 kt
14215 m	150 hPa	-55.5°C	-55.6°C	-77.6°C	5 %	144 ° / 3.3 kt
13228 m	175 hPa	-53.6°C	-54.2°C	-70.2°C	11 %	21 ° / 11.2 kt
12368 m	200 hPa	-53.1°C	-53.7°C	-60.8°C	39 %	48 ° / 22.4 kt
11609 m	225 hPa	-52°C	-52.4°C	-54.4°C	76 %	54 ° / 35.4 kt
10921 m	250 hPa	-47.9°C	-48.2°C	-50.5°C	74 %	58 ° / 34.1 kt
10285 m	275 hPa	-42.6°C	-42.8°C	-46.8°C	64 %	62 ° / 29.2 kt
9692 m	300 hPa	-37.6°C	-38°C	-40°C	78 %	61 ° / 24.5 kt
9150 m	325 hPa	-33.3°C	-33.9°C	-37.5°C	65 %	61 ° / 23.9 kt
8609 m	350 hPa	-28.9°C	-30°C	-35.5°C	53 %	60 ° / 23.3 kt
8124 m	375 hPa	-25.1°C	-26.8°C	-34.8°C	40 %	56 ° / 21.8 kt
7639 m	400 hPa	-21.2°C	-23.7°C	-35.2°C	27 %	51 ° / 20.4 kt
7199 m	425 hPa	-18°C	-20.8°C	-31.8°C	29 %	50 ° / 18.4 kt
6759 m	450 hPa	-14.7°C	-17.9°C	-28.3°C	30 %	48 ° / 16.4 kt
6355 m	475 hPa	-11.8°C	-14.9°C	-22.9°C	40 %	47 ° / 14.5 kt
5952 m	500 hPa	-9°C	-11.8°C	-17.8°C	49 %	46 ° / 12.6 kt
5579 m	525 hPa	-6.2°C	-9.5°C	-15.1°C	50 %	46 ° / 13.3 kt
5207 m	550 hPa	-3.5°C	-7°C	-12.3°C	50 %	45 ° / 14.1 kt
4859 m	575 hPa	-0.9°C	-5.1°C	-11.1°C	46 %	48 ° / 16.1 kt
4512 m	600 hPa	1.6°C	-3.3°C	-10.1°C	41 %	50 ° / 18 kt
4187 m	625 hPa	4°C	-1.9°C	-10°C	35 %	49 ° / 20.9 kt
3862 m	650 hPa	6.3°C	-0.7°C	-10.3°C	29 %	48 ° / 23.8 kt
3556 m	675 hPa	8.7°C	1°C	-8.7°C	28 %	50 ° / 24.5 kt
3249 m	700 hPa	11.1°C	2.8°C	-7°C	27 %	51 ° / 25.3 kt
3069 m	712 hPa	12.2°C	3.6°C	-6.1°C	27 %	53 ° / 25.3 kt
2819 m	734 hPa	14.2°C	5.2°C	-4.4°C	27 %	56 ° / 25.1 kt
2569 m	756 hPa	16.1°C	6.8°C	-2.3°C	28 %	58 ° / 24.5 kt
2319 m	779 hPa	17.9°C	8.3°C	-0.2°C	29 %	61 ° / 23.8 kt
2069 m	802 hPa	19.7°C	9.8°C	1.4°C	29 %	64 ° / 22.7 kt
1819 m	825 hPa	21.5°C	11.4°C	3.5°C	31 %	64 ° / 21.3 kt
1569 m	849 hPa	22.8°C	12.7°C	5.4°C	32 %	65 ° / 18.7 kt
1444 m	862 hPa	23.4°C	13.1°C	5.7°C	32 %	67 ° / 16.4 kt
1319 m	874 hPa	24.1°C	13.2°C	5.2°C	29 %	70 ° / 13.4 kt
1194 m	887 hPa	24.9°C	13.3°C	4.3°C	26 %	72 ° / 10.7 kt
1069 m	899 hPa	25.7°C	13.6°C	4.1°C	25 %	76 ° / 9.5 kt
944 m	912 hPa	26.1°C	14.7°C	6.6°C	29 %	82 ° / 10.1 kt
819 m	925 hPa	25.1°C	17.6°C	13.5°C	49 %	95 ° / 9.3 kt
694 m	938 hPa	24.1°C	17.2°C	13.3°C	51 %	141 ° / 3.3 kt
569 m	952 hPa	23.4°C	18.1°C	15.2°C	60 %	188 ° / 2.9 kt
444 m	966 hPa	24.1°C	19°C	16.3°C	62 %	167 ° / 3.8 kt
319 m	980 hPa	25.1°C	19.6°C	16.8°C	60 %	158 ° / 4.8 kt
269 m	985 hPa	25.6°C	19.8°C	16.9°C	59 %	155 ° / 5.2 kt
219 m	991 hPa	26°C	20.1°C	17.1°C	58 %	153 ° / 5.6 kt
169 m	996 hPa	26.5°C	20.4°C	17.3°C	57 %	151 ° / 5.9 kt
144 m	999 hPa	26.8°C	20.5°C	17.4°C	56 %	150 ° / 6.1 kt
119 m	1002 hPa	27.1°C	20.6°C	17.4°C	55 %	149 ° / 6.1 kt
104 m	1004 hPa	27.3°C	20.7°C	17.5°C	55 %	149 ° / 6 kt
89 m	1005 hPa	27.6°C	20.8°C	17.5°C	54 %	149 ° / 5.7 kt
71 m (Sol)	1008 hPa	30.6°C	22.5°C	18.9°C	50 %	149 ° / 4.9 kt
  Iso 0°C : 4729 m  	  Iso -10°C : 6095 m  	  Iso -20°C : 7475 m  
