Mardi 5 août 2025 22:00 locale (+2h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15251 m	125 hPa	-59.7°C	-60°C	-75°C	12 %	241 ° / 33.5 kt
14112 m	150 hPa	-59.6°C	-60°C	-74°C	14 %	247 ° / 48.2 kt
13144 m	175 hPa	-57°C	-57.6°C	-66.7°C	28 %	251 ° / 59.4 kt
12291 m	200 hPa	-53°C	-52.9°C	-60.9°C	38 %	258 ° / 69.1 kt
11525 m	225 hPa	-48.6°C	-49.2°C	-57.6°C	34 %	260 ° / 72.7 kt
10823 m	250 hPa	-43.1°C	-43.9°C	-55°C	26 %	262 ° / 74 kt
10175 m	275 hPa	-38.3°C	-39°C	-52°C	22 %	263 ° / 74.6 kt
9571 m	300 hPa	-34.4°C	-35.8°C	-48.8°C	22 %	262 ° / 69.1 kt
9026 m	325 hPa	-31.2°C	-32.6°C	-47.6°C	18 %	261 ° / 58.2 kt
8480 m	350 hPa	-28°C	-30°C	-46.7°C	15 %	260 ° / 47.2 kt
7994 m	375 hPa	-24.5°C	-27°C	-47.6°C	10 %	265 ° / 46.1 kt
7508 m	400 hPa	-20.9°C	-24.2°C	-51.5°C	5 %	270 ° / 45.2 kt
7068 m	425 hPa	-17.9°C	-21.7°C	-49.4°C	5 %	271 ° / 44.6 kt
6628 m	450 hPa	-14.8°C	-19.2°C	-47.3°C	4 %	272 ° / 43.9 kt
6226 m	475 hPa	-12.6°C	-16.6°C	-31°C	20 %	273 ° / 42.9 kt
5824 m	500 hPa	-10.3°C	-13.8°C	-22.8°C	35 %	274 ° / 41.8 kt
5454 m	525 hPa	-8.8°C	-11.5°C	-16.7°C	53 %	269 ° / 38.2 kt
5085 m	550 hPa	-7.2°C	-8.9°C	-11.7°C	70 %	264 ° / 34.9 kt
4744 m	575 hPa	-5.3°C	-7.2°C	-9.8°C	71 %	261 ° / 34 kt
4402 m	600 hPa	-3.5°C	-5.4°C	-7.9°C	72 %	259 ° / 33.1 kt
4080 m	618 hPa	-2.2°C	-4.1°C	-6.5°C	72 %	261 ° / 33.7 kt
3830 m	638 hPa	-0.9°C	-2.7°C	-4.9°C	74 %	264 ° / 34.6 kt
3580 m	658 hPa	0.4°C	-1.5°C	-3.5°C	75 %	267 ° / 35.1 kt
3330 m	679 hPa	1.9°C	-0.1°C	-2.3°C	74 %	271 ° / 34.8 kt
3080 m	700 hPa	3.4°C	1.1°C	-1.3°C	71 %	273 ° / 34 kt
2830 m	722 hPa	4.7°C	2.5°C	0.3°C	73 %	276 ° / 32.6 kt
2580 m	744 hPa	5.9°C	4.2°C	2.6°C	79 %	280 ° / 30.3 kt
2455 m	756 hPa	6.5°C	5.1°C	3.9°C	83 %	282 ° / 28.9 kt
2330 m	767 hPa	7.2°C	6°C	5.1°C	87 %	285 ° / 27.5 kt
2205 m	779 hPa	7.8°C	7°C	6.4°C	91 %	287 ° / 26.6 kt
2080 m	791 hPa	8.4°C	8°C	7.6°C	94 %	290 ° / 26.5 kt
1955 m	803 hPa	9°C	8.7°C	8.4°C	96 %	295 ° / 26.9 kt
1830 m	815 hPa	9.5°C	9.2°C	9°C	97 %	301 ° / 27.3 kt
1705 m	827 hPa	10.1°C	9.9°C	9.7°C	97 %	307 ° / 27.2 kt
1580 m	840 hPa	10.8°C	10.6°C	10.4°C	97 %	311 ° / 26.1 kt
1455 m	852 hPa	11.6°C	11.3°C	11.1°C	96 %	314 ° / 23.5 kt
1330 m	865 hPa	12.4°C	12°C	11.7°C	95 %	316 ° / 19.3 kt
1280 m	870 hPa	12.7°C	12.2°C	11.9°C	95 %	318 ° / 17.2 kt
1230 m	876 hPa	13°C	12.5°C	12.1°C	94 %	320 ° / 14.9 kt
1180 m	881 hPa	13.3°C	12.7°C	12.3°C	94 %	324 ° / 12.4 kt
1155 m	883 hPa	13.5°C	12.8°C	12.4°C	93 %	327 ° / 10.8 kt
1130 m	886 hPa	13.6°C	12.9°C	12.5°C	93 %	333 ° / 9 kt
1115 m	888 hPa	13.7°C	13°C	12.5°C	92 %	338 ° / 7.6 kt
1100 m	889 hPa	13.8°C	13.1°C	12.6°C	92 %	346 ° / 5.9 kt
1082 m (Sol)	891 hPa	14.5°C	14.1°C	13.8°C	96 %	359 ° / 4.1 kt
  Iso 0°C : 3653 m  	  Iso -10°C : 5742 m  	  Iso -20°C : 7375 m  
