Vendredi 8 août 2025 21:00 locale (+19h)
  	 Run 00Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15347 m	125 hPa	-60.3°C	-60.3°C	-82.3°C	4 %	210 ° / 19.7 kt
14202 m	150 hPa	-56.9°C	-56.7°C	-77.7°C	6 %	188 ° / 16.9 kt
13225 m	175 hPa	-56.8°C	-57.4°C	-66.5°C	28 %	152 ° / 13.9 kt
12382 m	200 hPa	-57.4°C	-57.7°C	-57.7°C	96 %	140 ° / 23.2 kt
11631 m	225 hPa	-53.1°C	-53.1°C	-53.1°C	100 %	141 ° / 28.9 kt
10944 m	250 hPa	-47.2°C	-47.3°C	-48.3°C	88 %	142 ° / 21.2 kt
10305 m	275 hPa	-41.5°C	-42°C	-47°C	55 %	133 ° / 16.9 kt
9709 m	300 hPa	-36.4°C	-37.3°C	-43.9°C	46 %	124 ° / 16.3 kt
9164 m	325 hPa	-31.8°C	-33°C	-40.3°C	43 %	121 ° / 15.8 kt
8619 m	350 hPa	-27.2°C	-28.7°C	-36.8°C	39 %	117 ° / 15.3 kt
8131 m	375 hPa	-23.5°C	-25°C	-30.6°C	52 %	117 ° / 14.1 kt
7643 m	400 hPa	-19.8°C	-21.1°C	-24.8°C	64 %	116 ° / 12.9 kt
7200 m	425 hPa	-16.6°C	-18.2°C	-22.3°C	61 %	116 ° / 11.2 kt
6758 m	450 hPa	-13.4°C	-15.5°C	-19.9°C	58 %	115 ° / 9.5 kt
6352 m	475 hPa	-10.6°C	-13°C	-17.6°C	56 %	108 ° / 9.4 kt
5947 m	500 hPa	-7.8°C	-10.5°C	-15.3°C	55 %	102 ° / 9.4 kt
5573 m	525 hPa	-5.3°C	-8.7°C	-14.4°C	49 %	92 ° / 9.2 kt
5198 m	550 hPa	-2.8°C	-7°C	-13.8°C	43 %	82 ° / 9.3 kt
4851 m	575 hPa	-0.6°C	-4.9°C	-11.1°C	45 %	67 ° / 11.1 kt
4503 m	600 hPa	1.6°C	-2.8°C	-8.4°C	47 %	57 ° / 13.5 kt
4178 m	625 hPa	3.9°C	-0.9°C	-6.5°C	47 %	49 ° / 13.3 kt
3853 m	650 hPa	6.2°C	1.1°C	-4.5°C	46 %	41 ° / 13.3 kt
3546 m	675 hPa	8.5°C	3.6°C	-0.9°C	52 %	45 ° / 11.9 kt
3240 m	700 hPa	10.7°C	6.2°C	2.6°C	57 %	52 ° / 10.6 kt
3121 m	706 hPa	11.3°C	6.5°C	2.8°C	56 %	53 ° / 10.8 kt
2871 m	727 hPa	13.1°C	8.1°C	4.5°C	56 %	62 ° / 11.1 kt
2621 m	749 hPa	14.8°C	9.7°C	6.2°C	56 %	73 ° / 11.1 kt
2371 m	771 hPa	16.8°C	10.9°C	6.9°C	52 %	80 ° / 10.9 kt
2121 m	794 hPa	18.9°C	11.8°C	7°C	46 %	80 ° / 9.7 kt
1871 m	818 hPa	20.7°C	13°C	7.9°C	44 %	74 ° / 10 kt
1621 m	842 hPa	22.4°C	13.5°C	7.7°C	39 %	78 ° / 9.6 kt
1496 m	854 hPa	23.4°C	13°C	5.5°C	31 %	88 ° / 6.9 kt
1371 m	866 hPa	24.1°C	12.6°C	3.5°C	26 %	101 ° / 3.2 kt
1246 m	879 hPa	24.3°C	12.4°C	2.6°C	24 %	181 ° / 1 kt
1121 m	891 hPa	24.4°C	12.4°C	2.3°C	24 %	231 ° / 3.2 kt
996 m	904 hPa	24.6°C	12.6°C	2.5°C	24 %	229 ° / 5.3 kt
871 m	917 hPa	25°C	13.1°C	3.3°C	24 %	229 ° / 6.7 kt
746 m	930 hPa	25.3°C	13.7°C	4.6°C	26 %	234 ° / 7.4 kt
621 m	944 hPa	25.5°C	14.7°C	6.8°C	30 %	238 ° / 7.8 kt
496 m	957 hPa	25.6°C	16.8°C	11.3°C	41 %	234 ° / 6.5 kt
371 m	971 hPa	25.3°C	18.7°C	15.2°C	53 %	211 ° / 4.4 kt
321 m	976 hPa	25.5°C	19.3°C	16°C	56 %	201 ° / 4.2 kt
271 m	982 hPa	25.8°C	19.7°C	16.5°C	56 %	197 ° / 4.3 kt
221 m	987 hPa	26.3°C	19.9°C	16.7°C	56 %	195 ° / 4.5 kt
196 m	990 hPa	26.5°C	20.1°C	16.8°C	55 %	195 ° / 4.5 kt
171 m	993 hPa	26.8°C	20.2°C	16.9°C	55 %	194 ° / 4.4 kt
156 m	995 hPa	26.9°C	20.3°C	17°C	54 %	193 ° / 4.3 kt
141 m	996 hPa	27.1°C	20.4°C	17°C	54 %	193 ° / 4 kt
123 m (Sol)	999 hPa	28.9°C	21.7°C	18.4°C	53 %	190 ° / 3.5 kt
  Iso 0°C : 4754 m  	  Iso -10°C : 6267 m  	  Iso -20°C : 7665 m  
