Jeudi 7 août 2025 23:00 locale (+21h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15342 m	125 hPa	-62.6°C	-62.2°C	-81.2°C	7 %	202 ° / 13.1 kt
14220 m	150 hPa	-63.2°C	-63.2°C	-68.2°C	51 %	138 ° / 19.2 kt
13271 m	175 hPa	-61.4°C	-61.4°C	-63.4°C	76 %	113 ° / 29.6 kt
12433 m	200 hPa	-56.1°C	-56.3°C	-60.3°C	59 %	110 ° / 31.9 kt
11676 m	225 hPa	-50.7°C	-51.2°C	-57.3°C	45 %	115 ° / 31.9 kt
10981 m	250 hPa	-45°C	-45.7°C	-53.7°C	37 %	118 ° / 28.3 kt
10337 m	275 hPa	-39.6°C	-40.4°C	-48.5°C	38 %	120 ° / 23.9 kt
9736 m	300 hPa	-34.6°C	-35.6°C	-43.2°C	41 %	120 ° / 20.1 kt
9188 m	325 hPa	-30.3°C	-31.5°C	-37.9°C	47 %	120 ° / 15 kt
8640 m	350 hPa	-26.1°C	-27.4°C	-32.7°C	54 %	121 ° / 9.9 kt
8149 m	375 hPa	-22.1°C	-23.9°C	-30.1°C	49 %	129 ° / 8.6 kt
7658 m	400 hPa	-18.2°C	-20.5°C	-27.6°C	44 %	140 ° / 7.5 kt
7212 m	425 hPa	-14.8°C	-17.6°C	-25.1°C	41 %	123 ° / 6.4 kt
6766 m	450 hPa	-11.4°C	-14.8°C	-22.8°C	39 %	101 ° / 6.1 kt
6358 m	475 hPa	-8.7°C	-12.5°C	-20.5°C	38 %	100 ° / 4.3 kt
5950 m	500 hPa	-6°C	-10.2°C	-18.2°C	37 %	98 ° / 2.5 kt
5574 m	525 hPa	-3.9°C	-8.1°C	-15.2°C	41 %	147 ° / 0.2 kt
5198 m	550 hPa	-1.8°C	-6°C	-12.2°C	45 %	269 ° / 2.2 kt
4849 m	575 hPa	0.5°C	-4.8°C	-12.6°C	37 %	281 ° / 3.1 kt
4500 m	600 hPa	2.7°C	-3.7°C	-13.5°C	29 %	287 ° / 4.1 kt
4174 m	625 hPa	4.7°C	-2.1°C	-12.1°C	28 %	284 ° / 5.7 kt
3849 m	650 hPa	6.7°C	-0.7°C	-10.8°C	28 %	282 ° / 7.4 kt
3542 m	675 hPa	8.8°C	1.8°C	-6.2°C	34 %	281 ° / 6.8 kt
3236 m	700 hPa	10.9°C	4.3°C	-2°C	41 %	280 ° / 6.1 kt
3033 m	717 hPa	12.5°C	5.7°C	-0.5°C	41 %	286 ° / 5.5 kt
2783 m	738 hPa	14.8°C	7°C	-0°C	36 %	295 ° / 5.3 kt
2533 m	760 hPa	17.2°C	7.8°C	-0.6°C	30 %	287 ° / 5.4 kt
2283 m	783 hPa	19.3°C	8.7°C	-0.8°C	26 %	258 ° / 6.8 kt
2033 m	806 hPa	20.8°C	10.2°C	1.4°C	28 %	244 ° / 8.3 kt
1783 m	830 hPa	22°C	11.6°C	3.4°C	29 %	234 ° / 7.9 kt
1533 m	854 hPa	22°C	12.6°C	5.7°C	35 %	218 ° / 6 kt
1408 m	866 hPa	21.9°C	12.5°C	5.4°C	34 %	205 ° / 5.2 kt
1283 m	879 hPa	22.4°C	12.1°C	3.9°C	30 %	200 ° / 5.7 kt
1158 m	892 hPa	23.1°C	12.2°C	3.1°C	27 %	203 ° / 7.6 kt
1033 m	905 hPa	23.9°C	12.6°C	3.3°C	26 %	207 ° / 9.8 kt
908 m	918 hPa	24.6°C	13.1°C	3.6°C	25 %	212 ° / 10.3 kt
783 m	931 hPa	25.3°C	13.5°C	3.9°C	25 %	218 ° / 9.1 kt
658 m	944 hPa	25.9°C	13.9°C	4.1°C	24 %	223 ° / 7 kt
533 m	958 hPa	26°C	14.6°C	6°C	28 %	219 ° / 4.2 kt
408 m	971 hPa	24.7°C	17°C	12.4°C	46 %	141 ° / 3.5 kt
283 m	985 hPa	23.7°C	21.5°C	20.5°C	82 %	166 ° / 2.5 kt
233 m	991 hPa	23.8°C	22.3°C	21.7°C	88 %	171 ° / 2.4 kt
183 m	997 hPa	24.1°C	22.8°C	22.2°C	89 %	173 ° / 2.4 kt
133 m	1002 hPa	24.5°C	23.1°C	22.6°C	89 %	172 ° / 2.5 kt
108 m	1005 hPa	24.7°C	23.3°C	22.7°C	88 %	172 ° / 2.5 kt
83 m	1008 hPa	24.9°C	23.4°C	22.7°C	88 %	173 ° / 2.4 kt
68 m	1010 hPa	25°C	23.4°C	22.8°C	87 %	173 ° / 2.3 kt
53 m	1011 hPa	25.1°C	23.5°C	22.8°C	87 %	174 ° / 2.1 kt
35 m (Sol)	1014 hPa	25.3°C	24.2°C	23.8°C	91 %	172 ° / 1.7 kt
  Iso 0°C : 4920 m  	  Iso -10°C : 6553 m  	  Iso -20°C : 7885 m  
