 
Mercredi 6 août 2025 2:00 locale (+6h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15327 m	125 hPa	-62.2°C	-62.1°C	-75.1°C	16 %	266 ° / 20.8 kt
14205 m	150 hPa	-63.5°C	-63.2°C	-67.2°C	60 %	243 ° / 30.9 kt
13255 m	175 hPa	-61.2°C	-61.5°C	-61.5°C	96 %	235 ° / 34.2 kt
12418 m	200 hPa	-56.7°C	-56.7°C	-56.7°C	100 %	243 ° / 32.5 kt
11662 m	225 hPa	-50.8°C	-51°C	-51°C	97 %	249 ° / 29.6 kt
10967 m	250 hPa	-44.9°C	-44.8°C	-46.8°C	81 %	247 ° / 27.2 kt
10322 m	275 hPa	-39.3°C	-39.5°C	-42.5°C	72 %	251 ° / 23.3 kt
9720 m	300 hPa	-34.5°C	-34.9°C	-36.9°C	79 %	262 ° / 17.8 kt
9172 m	325 hPa	-30.1°C	-30.9°C	-34.2°C	67 %	267 ° / 17.2 kt
8624 m	350 hPa	-25.7°C	-26.9°C	-31.9°C	56 %	271 ° / 16.7 kt
8133 m	375 hPa	-22.2°C	-23.5°C	-27.6°C	61 %	281 ° / 17.2 kt
7642 m	400 hPa	-18.7°C	-20.1°C	-23.3°C	67 %	289 ° / 18.1 kt
7197 m	425 hPa	-15.3°C	-17.5°C	-23.1°C	51 %	294 ° / 18.6 kt
6752 m	450 hPa	-11.8°C	-15.3°C	-24.3°C	35 %	299 ° / 19.2 kt
6345 m	475 hPa	-9.4°C	-13.6°C	-24.2°C	29 %	303 ° / 16.7 kt
5938 m	500 hPa	-7°C	-12°C	-24.5°C	23 %	308 ° / 14.3 kt
5564 m	525 hPa	-4.9°C	-10.2°C	-22.5°C	24 %	318 ° / 13.8 kt
5189 m	550 hPa	-2.9°C	-8.6°C	-20.6°C	24 %	329 ° / 13.7 kt
4842 m	575 hPa	-0.6°C	-6.6°C	-18°C	26 %	321 ° / 17.6 kt
4495 m	600 hPa	1.7°C	-4.6°C	-15.4°C	27 %	316 ° / 21.8 kt
4170 m	625 hPa	3.7°C	-2°C	-9.8°C	36 %	311 ° / 24.5 kt
3845 m	650 hPa	5.8°C	0.7°C	-4.9°C	46 %	307 ° / 27.3 kt
3539 m	675 hPa	8.2°C	2°C	-4.6°C	40 %	305 ° / 22.9 kt
3233 m	700 hPa	10.5°C	3.3°C	-4.5°C	34 %	303 ° / 18.4 kt
3009 m	718 hPa	11.9°C	4.2°C	-3.9°C	33 %	300 ° / 12.9 kt
2759 m	740 hPa	13.1°C	6.3°C	0.1°C	41 %	294 ° / 9.9 kt
2509 m	762 hPa	13.9°C	9.2°C	5.8°C	58 %	283 ° / 10.3 kt
2259 m	785 hPa	15°C	11.2°C	8.8°C	67 %	273 ° / 10.4 kt
2009 m	809 hPa	16.7°C	12.2°C	9.4°C	62 %	244 ° / 5.6 kt
1759 m	833 hPa	17.9°C	12.7°C	9.3°C	57 %	179 ° / 6.8 kt
1509 m	857 hPa	20.1°C	12.8°C	7.8°C	45 %	198 ° / 6.4 kt
1384 m	870 hPa	21.1°C	12°C	5°C	35 %	211 ° / 6.1 kt
1259 m	882 hPa	21.9°C	11.5°C	2.7°C	28 %	211 ° / 6.6 kt
1134 m	895 hPa	22.5°C	12.1°C	3.5°C	29 %	189 ° / 7.9 kt
1009 m	908 hPa	23.3°C	13.2°C	5.5°C	32 %	174 ° / 11.3 kt
884 m	921 hPa	24.2°C	14°C	6.5°C	32 %	167 ° / 14.6 kt
759 m	935 hPa	25.2°C	14.4°C	6.5°C	30 %	167 ° / 15.2 kt
634 m	948 hPa	26°C	15°C	7.1°C	30 %	176 ° / 14.4 kt
509 m	962 hPa	26.9°C	14.4°C	4.4°C	24 %	191 ° / 11 kt
384 m	975 hPa	26.3°C	15.4°C	7.5°C	30 %	236 ° / 4.3 kt
259 m	989 hPa	26.7°C	17°C	10.8°C	37 %	328 ° / 2.1 kt
209 m	995 hPa	26.6°C	17.8°C	12.4°C	41 %	323 ° / 2.3 kt
159 m	1000 hPa	26°C	18.7°C	14.6°C	49 %	289 ° / 2.3 kt
109 m	1006 hPa	25.8°C	19.6°C	16.3°C	56 %	255 ° / 2.8 kt
84 m	1009 hPa	25.8°C	20°C	17°C	58 %	245 ° / 3.3 kt
59 m	1012 hPa	25.7°C	20.4°C	17.8°C	62 %	237 ° / 3.9 kt
44 m	1014 hPa	25.6°C	20.8°C	18.5°C	65 %	231 ° / 4.3 kt
29 m	1015 hPa	25.3°C	21.1°C	19.1°C	69 %	227 ° / 4.1 kt
11 m (Sol)	1018 hPa	23.7°C	21.3°C	20.1°C	80 %	225 ° / 2.9 kt
  Iso 0°C : 4748 m  	  Iso -10°C : 6446 m  	  Iso -20°C : 7822 m  
