Mercredi 6 août 2025 5:00 locale (+9h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15310 m	125 hPa	-61.7°C	-61.3°C	-78.3°C	9 %	286 ° / 24.6 kt
14181 m	150 hPa	-61.9°C	-61.7°C	-69.7°C	34 %	259 ° / 30.6 kt
13227 m	175 hPa	-61.1°C	-60.8°C	-61.8°C	92 %	237 ° / 36.3 kt
12392 m	200 hPa	-57.2°C	-57.2°C	-57.2°C	100 %	239 ° / 34.6 kt
11638 m	225 hPa	-51.4°C	-51.4°C	-51.4°C	100 %	247 ° / 31.7 kt
10945 m	250 hPa	-45.6°C	-46°C	-47.3°C	83 %	253 ° / 29.2 kt
10302 m	275 hPa	-40.1°C	-40.5°C	-42.7°C	76 %	258 ° / 25.9 kt
9702 m	300 hPa	-35.1°C	-35.6°C	-37.7°C	77 %	263 ° / 21.8 kt
9155 m	325 hPa	-30.6°C	-31.4°C	-35.4°C	63 %	263 ° / 19.4 kt
8607 m	350 hPa	-26.1°C	-27.5°C	-33.7°C	49 %	263 ° / 16.9 kt
8117 m	375 hPa	-22.5°C	-24.1°C	-29.6°C	52 %	268 ° / 15.6 kt
7627 m	400 hPa	-18.9°C	-20.6°C	-25.6°C	56 %	273 ° / 14.5 kt
7183 m	425 hPa	-15.5°C	-17.9°C	-24.3°C	47 %	280 ° / 13.8 kt
6739 m	450 hPa	-12.1°C	-15.4°C	-23.5°C	38 %	287 ° / 13.4 kt
6332 m	475 hPa	-9.6°C	-13.3°C	-22.3°C	35 %	295 ° / 12.2 kt
5925 m	500 hPa	-7°C	-11.4°C	-21.4°C	31 %	305 ° / 11.3 kt
5550 m	525 hPa	-5°C	-10°C	-20.6°C	28 %	313 ° / 12.5 kt
5176 m	550 hPa	-3°C	-8.6°C	-20°C	26 %	319 ° / 13.9 kt
4829 m	575 hPa	-0.9°C	-6.9°C	-18.6°C	25 %	318 ° / 19.7 kt
4482 m	600 hPa	1.3°C	-5.2°C	-17.3°C	24 %	318 ° / 25.6 kt
4158 m	625 hPa	3.5°C	-2.4°C	-10.9°C	34 %	313 ° / 28.2 kt
3833 m	650 hPa	5.7°C	0.5°C	-5.5°C	44 %	309 ° / 31 kt
3528 m	675 hPa	7.7°C	2.2°C	-3.6°C	45 %	307 ° / 26.3 kt
3222 m	700 hPa	9.8°C	4°C	-1.6°C	45 %	303 ° / 21.8 kt
3009 m	717 hPa	11°C	5.1°C	-0.2°C	46 %	295 ° / 17.1 kt
2759 m	739 hPa	12.4°C	6.8°C	2.2°C	50 %	282 ° / 13.9 kt
2509 m	762 hPa	13.7°C	8.8°C	5.1°C	56 %	271 ° / 11.9 kt
2259 m	784 hPa	15.1°C	10.6°C	7.5°C	61 %	263 ° / 8.8 kt
2009 m	808 hPa	16.4°C	12.3°C	9.7°C	65 %	254 ° / 4.4 kt
1759 m	832 hPa	18.1°C	13.5°C	10.8°C	62 %	203 ° / 5.2 kt
1509 m	856 hPa	19.9°C	14.5°C	11.4°C	58 %	227 ° / 4.9 kt
1384 m	869 hPa	20.9°C	14.6°C	10.8°C	53 %	229 ° / 5.1 kt
1259 m	881 hPa	21.9°C	14.4°C	9.6°C	45 %	220 ° / 5.4 kt
1134 m	894 hPa	22.6°C	14.2°C	8.6°C	41 %	217 ° / 6.2 kt
1009 m	907 hPa	23.1°C	14.2°C	8.1°C	38 %	217 ° / 7.4 kt
884 m	920 hPa	23.5°C	14.7°C	8.7°C	39 %	211 ° / 8.8 kt
759 m	933 hPa	24.2°C	15.4°C	9.5°C	39 %	204 ° / 10.7 kt
634 m	947 hPa	25.2°C	16°C	10°C	38 %	205 ° / 11.8 kt
509 m	960 hPa	25.8°C	15.7°C	8.8°C	34 %	221 ° / 11.2 kt
384 m	974 hPa	25.8°C	16.8°C	11.1°C	40 %	241 ° / 10 kt
259 m	988 hPa	26.4°C	17.1°C	11.2°C	39 %	262 ° / 5 kt
209 m	994 hPa	26.3°C	17.1°C	11.2°C	39 %	287 ° / 4.4 kt
159 m	999 hPa	26.4°C	17.4°C	11.8°C	40 %	303 ° / 5 kt
109 m	1005 hPa	26.3°C	17.8°C	12.6°C	43 %	316 ° / 6.6 kt
84 m	1008 hPa	26.2°C	18.1°C	13.3°C	45 %	322 ° / 7.8 kt
59 m	1011 hPa	25.9°C	18.5°C	14.2°C	48 %	323 ° / 8.2 kt
44 m	1013 hPa	25.4°C	18.2°C	14°C	49 %	320 ° / 7.9 kt
29 m	1014 hPa	25°C	17.4°C	12.8°C	47 %	317 ° / 6.4 kt
11 m (Sol)	1017 hPa	23.3°C	16.8°C	12.6°C	51 %	316 ° / 4.7 kt
  Iso 0°C : 4688 m  	  Iso -10°C : 6397 m  	  Iso -20°C : 7775 m  


