Mercredi 6 août 2025 14:00 locale (+12h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15296 m	125 hPa	-62.1°C	-62.5°C	-79.5°C	8 %	286 ° / 27.6 kt
14168 m	150 hPa	-61.6°C	-62.2°C	-73.2°C	20 %	264 ° / 22.4 kt
13212 m	175 hPa	-60.4°C	-60.1°C	-64.1°C	61 %	250 ° / 21 kt
12373 m	200 hPa	-56.4°C	-56.8°C	-60°C	63 %	255 ° / 23 kt
11617 m	225 hPa	-51.4°C	-51.3°C	-57.3°C	49 %	264 ° / 24.7 kt
10925 m	250 hPa	-46.2°C	-46.7°C	-52.1°C	51 %	270 ° / 23.6 kt
10285 m	275 hPa	-41.1°C	-41.8°C	-46.2°C	58 %	274 ° / 20.7 kt
9688 m	300 hPa	-36.2°C	-36.8°C	-40.8°C	62 %	274 ° / 20.6 kt
9143 m	325 hPa	-31.8°C	-32.9°C	-39.5°C	47 %	274 ° / 20.8 kt
8599 m	350 hPa	-27.4°C	-29.1°C	-39.4°C	31 %	275 ° / 21.1 kt
8110 m	375 hPa	-23.3°C	-25.7°C	-38.1°C	25 %	274 ° / 18.7 kt
7622 m	400 hPa	-19.2°C	-22.4°C	-37.5°C	18 %	274 ° / 16.2 kt
7179 m	425 hPa	-16.3°C	-19.8°C	-33.8°C	21 %	261 ° / 16.5 kt
6736 m	450 hPa	-13.4°C	-17.2°C	-30.2°C	23 %	250 ° / 17.6 kt
6331 m	475 hPa	-10.5°C	-15.1°C	-29.7°C	19 %	252 ° / 17.1 kt
5926 m	500 hPa	-7.6°C	-13°C	-29.6°C	15 %	255 ° / 16.7 kt
5552 m	525 hPa	-5.2°C	-10.5°C	-23.2°C	23 %	265 ° / 16.9 kt
5177 m	550 hPa	-2.8°C	-8°C	-17.8°C	31 %	274 ° / 17.7 kt
4830 m	575 hPa	-0.7°C	-6°C	-14.9°C	33 %	283 ° / 20 kt
4483 m	600 hPa	1.4°C	-3.9°C	-11.9°C	36 %	289 ° / 22.6 kt
4158 m	625 hPa	3.5°C	-1.2°C	-7°C	46 %	292 ° / 24.1 kt
3833 m	650 hPa	5.7°C	1.6°C	-2.5°C	56 %	294 ° / 25.5 kt
3527 m	675 hPa	8.2°C	3.6°C	-0.5°C	55 %	294 ° / 23.7 kt
3221 m	700 hPa	10.6°C	5.7°C	1.5°C	53 %	293 ° / 21.8 kt
3154 m	706 hPa	11.2°C	6.1°C	1.8°C	52 %	292 ° / 21.4 kt
2904 m	728 hPa	12.9°C	7.1°C	2.5°C	49 %	284 ° / 20.2 kt
2654 m	750 hPa	13.9°C	8.2°C	3.7°C	50 %	272 ° / 19.9 kt
2404 m	772 hPa	14.7°C	9.2°C	5.2°C	53 %	266 ° / 22.4 kt
2154 m	795 hPa	16.1°C	10.2°C	6°C	51 %	261 ° / 24.3 kt
1904 m	819 hPa	17.4°C	10.7°C	5.8°C	47 %	259 ° / 22.6 kt
1654 m	843 hPa	17.7°C	11.8°C	7.7°C	52 %	261 ° / 18.7 kt
1529 m	856 hPa	17.6°C	12.9°C	9.9°C	61 %	262 ° / 16.9 kt
1404 m	868 hPa	17.9°C	13.9°C	11.4°C	65 %	259 ° / 15.3 kt
1279 m	881 hPa	18.5°C	14.8°C	12.7°C	69 %	252 ° / 13.4 kt
1154 m	894 hPa	19°C	15.9°C	14.1°C	73 %	238 ° / 11 kt
1029 m	907 hPa	19.6°C	16.8°C	15.3°C	76 %	219 ° / 9.6 kt
904 m	920 hPa	20.5°C	17.5°C	15.9°C	75 %	205 ° / 9.4 kt
779 m	934 hPa	21.5°C	18.1°C	16.3°C	72 %	194 ° / 9.9 kt
654 m	947 hPa	22.6°C	18.7°C	16.7°C	69 %	187 ° / 10.6 kt
529 m	961 hPa	23.6°C	19.2°C	17°C	67 %	183 ° / 11.3 kt
404 m	974 hPa	24.8°C	19.8°C	17.4°C	63 %	180 ° / 11.8 kt
354 m	980 hPa	25.3°C	20.1°C	17.5°C	62 %	179 ° / 11.9 kt
304 m	986 hPa	25.8°C	20.3°C	17.6°C	61 %	178 ° / 11.9 kt
254 m	991 hPa	26.3°C	20.6°C	17.8°C	59 %	178 ° / 11.6 kt
229 m	994 hPa	26.6°C	20.7°C	17.8°C	58 %	177 ° / 11.4 kt
204 m	997 hPa	27°C	20.9°C	17.9°C	57 %	177 ° / 10.9 kt
189 m	999 hPa	27.3°C	21°C	17.9°C	57 %	177 ° / 10.4 kt
174 m	1000 hPa	27.6°C	21.1°C	18°C	56 %	177 ° / 9.5 kt
156 m (Sol)	1002 hPa	29.7°C	21.9°C	18.3°C	50 %	177 ° / 8.1 kt
  Iso 0°C : 4711 m  	  Iso -10°C : 6263 m  	  Iso -20°C : 7714 m 
