Mercredi 6 août 2025 20:00 locale (+18h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15308 m	125 hPa	-61.9°C	-61.9°C	-79.9°C	7 %	285 ° / 15.2 kt
14179 m	150 hPa	-61.4°C	-61.6°C	-69.6°C	33 %	316 ° / 17.5 kt
13220 m	175 hPa	-59.8°C	-59.5°C	-62.5°C	71 %	345 ° / 21.8 kt
12380 m	200 hPa	-56.2°C	-56.5°C	-57.5°C	85 %	346 ° / 25.4 kt
11624 m	225 hPa	-51.7°C	-52.1°C	-53.3°C	83 %	337 ° / 22.7 kt
10933 m	250 hPa	-46.1°C	-46.1°C	-50.1°C	64 %	331 ° / 22.6 kt
10292 m	275 hPa	-40.7°C	-41.4°C	-47.7°C	47 %	333 ° / 24.3 kt
9693 m	300 hPa	-35.5°C	-36.6°C	-46.1°C	33 %	339 ° / 25.7 kt
9147 m	325 hPa	-31°C	-32.4°C	-41.9°C	34 %	338 ° / 23.9 kt
8600 m	350 hPa	-26.6°C	-28.4°C	-37.7°C	34 %	337 ° / 22.1 kt
8111 m	375 hPa	-22.7°C	-24.6°C	-32.6°C	40 %	312 ° / 21.1 kt
7621 m	400 hPa	-18.7°C	-20.9°C	-27.7°C	45 %	288 ° / 24.2 kt
7176 m	425 hPa	-15.5°C	-18.7°C	-29.7°C	28 %	286 ° / 23.5 kt
6732 m	450 hPa	-12.2°C	-17°C	-36.3°C	12 %	283 ° / 22.9 kt
6325 m	475 hPa	-9.8°C	-15°C	-34.3°C	12 %	281 ° / 20.8 kt
5919 m	500 hPa	-7.4°C	-13.1°C	-32.3°C	12 %	279 ° / 18.9 kt
5546 m	525 hPa	-5.5°C	-11.2°C	-26.7°C	17 %	282 ° / 17.2 kt
5172 m	550 hPa	-3.7°C	-9.2°C	-22°C	23 %	286 ° / 15.6 kt
4826 m	575 hPa	-1.5°C	-6.9°C	-17°C	29 %	291 ° / 17.3 kt
4480 m	600 hPa	0.8°C	-4.5°C	-12.5°C	36 %	296 ° / 19.2 kt
4155 m	625 hPa	3.1°C	-1.6°C	-7.4°C	46 %	296 ° / 19.8 kt
3831 m	650 hPa	5.4°C	1.5°C	-2.6°C	56 %	297 ° / 20.5 kt
3525 m	675 hPa	8.2°C	3.4°C	-1.1°C	52 %	293 ° / 18.4 kt
3219 m	700 hPa	11°C	5.3°C	0.4°C	48 %	288 ° / 16.4 kt
3154 m	706 hPa	11.6°C	5.7°C	0.6°C	47 %	286 ° / 15.7 kt
2904 m	728 hPa	13.9°C	7.1°C	1.4°C	43 %	285 ° / 13.7 kt
2654 m	749 hPa	15.9°C	8.4°C	2.3°C	40 %	286 ° / 11.3 kt
2404 m	772 hPa	17.7°C	9.7°C	3.5°C	39 %	291 ° / 8.1 kt
2154 m	795 hPa	19.1°C	10.8°C	4.7°C	38 %	301 ° / 5.2 kt
1904 m	818 hPa	20.4°C	11.8°C	5.7°C	38 %	325 ° / 4 kt
1654 m	842 hPa	21.4°C	12.9°C	7.2°C	40 %	6 ° / 4.9 kt
1529 m	854 hPa	21.8°C	13.4°C	7.8°C	40 %	5 ° / 4.2 kt
1404 m	867 hPa	21.8°C	13.4°C	7.6°C	40 %	297 ° / 4.8 kt
1279 m	879 hPa	21.5°C	12.7°C	6.3°C	37 %	267 ° / 12.6 kt
1154 m	892 hPa	21.7°C	12.7°C	5.8°C	36 %	257 ° / 18.5 kt
1029 m	905 hPa	22.1°C	13.3°C	6.8°C	37 %	252 ° / 19.6 kt
904 m	918 hPa	22.5°C	14.4°C	8.9°C	42 %	249 ° / 17.7 kt
779 m	931 hPa	23°C	15.8°C	11.3°C	48 %	247 ° / 15.2 kt
654 m	945 hPa	23.5°C	17.2°C	13.7°C	54 %	243 ° / 13.3 kt
529 m	958 hPa	23.9°C	18.7°C	16°C	61 %	229 ° / 11.9 kt
404 m	972 hPa	24.2°C	19.8°C	17.7°C	67 %	204 ° / 12 kt
354 m	978 hPa	24.5°C	20.2°C	18.2°C	68 %	198 ° / 12.1 kt
304 m	983 hPa	24.9°C	20.5°C	18.4°C	67 %	195 ° / 11.9 kt
254 m	989 hPa	25.3°C	20.8°C	18.6°C	66 %	193 ° / 11.4 kt
229 m	992 hPa	25.6°C	20.9°C	18.7°C	66 %	193 ° / 11 kt
204 m	994 hPa	25.8°C	21°C	18.8°C	65 %	192 ° / 10.2 kt
189 m	996 hPa	26°C	21.1°C	18.8°C	65 %	192 ° / 9.5 kt
174 m	998 hPa	26.2°C	21.2°C	18.9°C	64 %	192 ° / 8.4 kt
156 m (Sol)	1000 hPa	27.9°C	22.3°C	19.9°C	62 %	192 ° / 6.9 kt
  Iso 0°C : 4597 m  	  Iso -10°C : 6356 m  	  Iso -20°C : 7780 m  
