Mardi 5 août 2025 18:00 locale (+4h)
  	 Run 12Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15347 m	125 hPa	-65.5°C	-65.4°C	-81.4°C	9 %	276 ° / 18.8 kt
14234 m	150 hPa	-63.4°C	-63.9°C	-80.9°C	8 %	245 ° / 26.7 kt
13283 m	175 hPa	-60.9°C	-61°C	-64°C	67 %	223 ° / 29.5 kt
12443 m	200 hPa	-55.3°C	-55°C	-57°C	81 %	230 ° / 31 kt
11681 m	225 hPa	-49.3°C	-49.7°C	-52°C	73 %	239 ° / 30.5 kt
10982 m	250 hPa	-43.6°C	-44.1°C	-47.5°C	65 %	239 ° / 28.7 kt
10334 m	275 hPa	-38.1°C	-39°C	-45°C	49 %	246 ° / 24.8 kt
9729 m	300 hPa	-33.3°C	-34.3°C	-40.3°C	50 %	262 ° / 23.8 kt
9179 m	325 hPa	-29.1°C	-29.9°C	-34.9°C	57 %	271 ° / 24.2 kt
8628 m	350 hPa	-24.9°C	-26°C	-29.5°C	65 %	279 ° / 25.1 kt
8135 m	375 hPa	-21.3°C	-22.6°C	-26.2°C	65 %	288 ° / 22.9 kt
7643 m	400 hPa	-17.8°C	-19.2°C	-22.8°C	65 %	298 ° / 21.3 kt
7197 m	425 hPa	-14.7°C	-16.8°C	-21.4°C	57 %	299 ° / 19.6 kt
6751 m	450 hPa	-11.7°C	-14.4°C	-20.2°C	49 %	301 ° / 17.9 kt
6343 m	475 hPa	-8.5°C	-12.6°C	-21.7°C	34 %	307 ° / 17.4 kt
5934 m	500 hPa	-5.4°C	-11.2°C	-25.8°C	18 %	313 ° / 17.1 kt
5557 m	525 hPa	-2.7°C	-9.5°C	-27°C	13 %	320 ° / 18.4 kt
5179 m	550 hPa	-0°C	-7.9°C	-29.9°C	8 %	325 ° / 19.9 kt
4829 m	575 hPa	1.7°C	-6.4°C	-25.7°C	11 %	324 ° / 23 kt
4478 m	600 hPa	3.4°C	-4.7°C	-21.9°C	14 %	323 ° / 26.2 kt
4153 m	625 hPa	4.3°C	-3.3°C	-16.6°C	20 %	321 ° / 27.7 kt
3828 m	650 hPa	5.2°C	-1.8°C	-12.4°C	27 %	319 ° / 29.3 kt
3524 m	675 hPa	6.9°C	0°C	-9.1°C	31 %	320 ° / 28.6 kt
3219 m	700 hPa	8.6°C	2°C	-5.9°C	35 %	320 ° / 28 kt
3039 m	716 hPa	9.4°C	4.2°C	-0.8°C	49 %	319 ° / 25.5 kt
2789 m	738 hPa	10.8°C	7°C	4°C	63 %	314 ° / 22.2 kt
2539 m	760 hPa	12.2°C	8.5°C	5.8°C	65 %	305 ° / 18.2 kt
2289 m	783 hPa	13.3°C	9.2°C	6.1°C	61 %	293 ° / 13.9 kt
2039 m	807 hPa	15.3°C	10°C	6.2°C	55 %	294 ° / 13.3 kt
1789 m	831 hPa	17.5°C	11.1°C	6.4°C	48 %	301 ° / 13.9 kt
1539 m	856 hPa	19.8°C	12.1°C	6.5°C	42 %	312 ° / 15.4 kt
1414 m	868 hPa	20.9°C	12.6°C	6.6°C	40 %	317 ° / 16.3 kt
1289 m	881 hPa	22°C	13.1°C	6.7°C	37 %	321 ° / 17.3 kt
1164 m	893 hPa	23.1°C	13.7°C	6.9°C	35 %	324 ° / 18.2 kt
1039 m	906 hPa	24.2°C	14.2°C	7°C	33 %	326 ° / 18.9 kt
914 m	919 hPa	25.4°C	14.7°C	7.2°C	31 %	328 ° / 19.4 kt
789 m	932 hPa	26.5°C	15.3°C	7.4°C	30 %	329 ° / 19.5 kt
664 m	946 hPa	27.7°C	15.8°C	7.6°C	28 %	330 ° / 19.4 kt
539 m	959 hPa	28.9°C	16.4°C	7.8°C	26 %	331 ° / 19.1 kt
414 m	973 hPa	30.1°C	17°C	8°C	25 %	332 ° / 18.6 kt
289 m	986 hPa	31.4°C	17.5°C	8.1°C	24 %	333 ° / 17.6 kt
239 m	992 hPa	31.9°C	17.8°C	8.2°C	23 %	333 ° / 17.1 kt
189 m	998 hPa	32.4°C	18°C	8.3°C	23 %	334 ° / 16.4 kt
139 m	1003 hPa	32.9°C	18.3°C	8.4°C	22 %	334 ° / 15.6 kt
114 m	1006 hPa	33.2°C	18.3°C	8.4°C	22 %	335 ° / 15 kt
89 m	1009 hPa	33.5°C	18.5°C	8.4°C	21 %	335 ° / 14.2 kt
74 m	1010 hPa	33.7°C	18.6°C	8.4°C	21 %	336 ° / 13.6 kt
59 m	1012 hPa	33.9°C	18.7°C	8.5°C	21 %	336 ° / 12.6 kt
41 m (Sol)	1014 hPa	33.9°C	19.5°C	10.6°C	24 %	341 ° / 11.6 kt
  Iso 0°C : 5172 m  	  Iso -10°C : 6533 m  	  Iso -20°C : 7953 m  

