Dimanche 10 août 2025 16:00 locale (+26h)
  	 Run 12Z du Samedi 9 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15378 m	125 hPa	-59.4°C	-59.9°C	-80.9°C	5 %	18 ° / 2 kt
14230 m	150 hPa	-57.8°C	-58.4°C	-75.4°C	9 %	36 ° / 17.9 kt
13257 m	175 hPa	-56.8°C	-56.6°C	-67.6°C	24 %	23 ° / 27.8 kt
12406 m	200 hPa	-53.9°C	-54.5°C	-62.5°C	34 %	34 ° / 34.2 kt
11645 m	225 hPa	-51°C	-51.5°C	-57.5°C	46 %	40 ° / 36.8 kt
10952 m	250 hPa	-46.2°C	-46.8°C	-51.8°C	53 %	37 ° / 31.6 kt
10313 m	275 hPa	-41.7°C	-42.2°C	-46.3°C	60 %	24 ° / 24.9 kt
9717 m	300 hPa	-36.8°C	-37.4°C	-40.7°C	67 %	5 ° / 21.7 kt
9173 m	325 hPa	-31.9°C	-32.6°C	-36.1°C	66 %	358 ° / 20.8 kt
8629 m	350 hPa	-26.9°C	-27.9°C	-31.5°C	65 %	351 ° / 20.2 kt
8140 m	375 hPa	-22.9°C	-24.1°C	-27.7°C	65 %	357 ° / 20.1 kt
7651 m	400 hPa	-18.9°C	-20.4°C	-24°C	64 %	2 ° / 20.2 kt
7208 m	425 hPa	-15.9°C	-17.4°C	-20.6°C	67 %	13 ° / 20 kt
6765 m	450 hPa	-13°C	-14.5°C	-17.3°C	70 %	23 ° / 20.5 kt
6360 m	475 hPa	-10.3°C	-11.6°C	-13.6°C	77 %	26 ° / 20.7 kt
5954 m	500 hPa	-7.6°C	-8.6°C	-9.9°C	84 %	28 ° / 20.9 kt
5580 m	525 hPa	-5.4°C	-6.4°C	-7.6°C	84 %	31 ° / 20.4 kt
5207 m	550 hPa	-3.2°C	-4.2°C	-5.3°C	85 %	35 ° / 19.9 kt
4860 m	575 hPa	-1.6°C	-2.2°C	-2.7°C	92 %	41 ° / 19.3 kt
4513 m	600 hPa	0.1°C	0°C	-0.1°C	99 %	47 ° / 18.9 kt
4190 m	625 hPa	2.1°C	2.1°C	2°C	99 %	55 ° / 15.9 kt
3866 m	650 hPa	4.2°C	4.2°C	4.1°C	99 %	67 ° / 13.4 kt
3711 m	661 hPa	5.1°C	5.1°C	5°C	99 %	71 ° / 12.3 kt
3461 m	681 hPa	7.2°C	6.8°C	6.5°C	95 %	80 ° / 10.6 kt
3211 m	702 hPa	9.4°C	8.3°C	7.6°C	88 %	90 ° / 9.7 kt
2961 m	723 hPa	11.7°C	9.6°C	8.3°C	80 %	97 ° / 9.3 kt
2711 m	745 hPa	14.1°C	10.8°C	8.8°C	71 %	101 ° / 9.2 kt
2461 m	768 hPa	16.4°C	12°C	9.3°C	63 %	105 ° / 9.3 kt
2211 m	790 hPa	18.8°C	13.2°C	9.8°C	56 %	108 ° / 9.6 kt
2086 m	802 hPa	20°C	13.7°C	10°C	53 %	110 ° / 9.8 kt
1961 m	813 hPa	21.2°C	14.3°C	10.3°C	49 %	112 ° / 10 kt
1836 m	825 hPa	22.4°C	14.9°C	10.5°C	47 %	113 ° / 10.1 kt
1711 m	837 hPa	23.7°C	15.4°C	10.7°C	44 %	115 ° / 10.3 kt
1586 m	849 hPa	24.9°C	16°C	10.9°C	42 %	116 ° / 10.5 kt
1461 m	861 hPa	26.1°C	16.6°C	11.2°C	39 %	118 ° / 10.7 kt
1336 m	874 hPa	27.3°C	17.1°C	11.4°C	37 %	120 ° / 11 kt
1211 m	886 hPa	28.5°C	17.6°C	11.6°C	35 %	121 ° / 11.2 kt
1086 m	899 hPa	29.8°C	18.2°C	11.8°C	33 %	123 ° / 11.4 kt
961 m	911 hPa	31°C	18.8°C	12.1°C	31 %	125 ° / 11.6 kt
911 m	916 hPa	31.5°C	19°C	12.2°C	31 %	126 ° / 11.5 kt
861 m	921 hPa	32.1°C	19.2°C	12.3°C	30 %	127 ° / 11.4 kt
811 m	927 hPa	32.6°C	19.5°C	12.4°C	29 %	128 ° / 11 kt
786 m	929 hPa	32.9°C	19.6°C	12.5°C	29 %	128 ° / 10.6 kt
761 m	932 hPa	33.2°C	19.7°C	12.5°C	28 %	129 ° / 10 kt
746 m	933 hPa	33.5°C	19.9°C	12.6°C	28 %	129 ° / 9.4 kt
731 m	935 hPa	33.7°C	20°C	12.6°C	28 %	129 ° / 8.2 kt
  Iso 0°C : 4528 m  	  Iso -10°C : 6316 m  	  Iso -20°C : 7782 m  
